"Ensembl_ID","control_rep2","exp_rep3","exp_rep2","exp_rep1","control_rep1","control_rep3"
"ENSG00000225294.1",2,8,7,2,3,2
"ENSG00000253368.4",3243,4162,3862,4209,3534,4266
"ENSG00000158246.8",1571,2161,1769,1815,1710,2132
"ENSG00000090020.11",2611,3348,3172,3123,2991,3703
"ENSG00000214973.3",6,4,6,9,5,8
"ENSG00000225159.1",36,76,49,63,50,72
"ENSG00000142784.16",4174,5219,4583,4366,4747,5914
"ENSG00000243659.1",5,2,3,3,3,2
"ENSG00000186501.15",2120,3169,2667,2491,2325,2971
"ENSG00000206888.1",2,2,3,6,1,0
"ENSG00000241547.1",25,28,30,23,21,22
"ENSG00000142765.18",754,1272,1220,1170,841,1110
